Rol,Caratulado,Fecha Sentencia,Materia,Submateria,Descriptores,Sala,Resultado Recurso,Tipo Recurso,Enlace Sentencia
Rol: 245151-2023,Caratulado: SOCIEDAD CONTRACTUAL MINERA ATACAMA KOZAN/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 31-07-2024,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Procedimiento sancionatorio, Programa de cumplimiento, Admisibilidad del recurso de casación en el fondo, Sentencia definitiva, Admisibilidad del recurso de casación en la forma, Resoluciones susceptibles de recurso de casación en la forma, Resoluciones susceptibles de recurso de casación en el fondo, Ausencia de acto terminal, Reclamación del artículo 17 n° 3 de la ley 20.600, Resolución que rechaza programa de cumplimiento","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dig35
Rol: 87933-2023,Caratulado: VELÁSQUEZ MORAGA GERMANA CON SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 18-07-2024,Potestad sancionadora y fiscalizadora,Multa,"Zona saturada, Daño ambiental, Infracción leve, Resolución de Calificación Ambiental (RCA), Colbun S.A., Capacidad económica del infractor, Beneficio económico del infractor, Consulta de pertinencia, Ingreso al Sistema de Evaluación de Impacto Ambiental (SEIA), Potestad sancionadora y fiscalizadora, Cooperación eficaz, Cumplimiento de la resolución de calificación ambiental (rca), Sentencia de reemplazo, Reclamación del artículo 17 n° 3 de la ley 20.600, Carácter único o múltiple de las infracciones, Ausencia de infracciones anteriores","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dh6ql
Rol: 87933-2023,Caratulado: VELÁSQUEZ MORAGA GERMANA CON SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 18-07-2024,Potestad sancionadora y fiscalizadora,Multa,"Ultra petita, Sanción de multa, Colbun S.A., Ingreso al Sistema de Evaluación de Impacto Ambiental (SEIA), Potestad sancionadora y fiscalizadora, Consideraciones contradictorias, Reclamación del artículo 17 n° 3 de la ley 20.600, Carácter único o múltiple de las infracciones","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FORMA, ANULADA SENTENCIA DE, OMIT",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dh6qn
Rol: 133372-2022,Caratulado: CORPORACIÓN DE DESARROLLO SOCIAL Y CULTURAL AMOLANAS CON SERVICIO DE EVALUACIÓN AMBIENTAL,Fecha sentencia: 10-07-2024,Sistema de Evaluación de impacto ambiental (SEIA),Participación ciudadana/consulta indígena,"Ausencia de error de derecho, Falta de fundamentación de la sentencia, Argumentos no configuran la causal invocada, Sistema de Evaluación de Impacto Ambiental (SEIA), Principios de la lógica, máximas de experiencia y conocimientos científicamente afianzados, Área de influencia, Participación ciudadana, Principio participativo, Hechos establecidos por los jueces del fondo son inamovibles, Carencia de razonamientos concretos, Infracción a la sana crítica, Cumplimiento de las observaciones formuladas, No se dan exigencias formales de un recurso de derecho estricto, Debidamente fundada, Reclamación del artículo 17 n° 6 de la ley 20.600, Apertura de un proceso de participación ciudadana","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO (M),Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dohx2
Rol: 7548-2024,Caratulado: MUÑOZ/INMOBILIARIA POWER CENTER LIMITADA (JPL VALDIVIA/TERCER TRIBUNAL AMBIENTAL DE VALDIVIA),Fecha sentencia: 10-07-2024,Aspectos procesales del recurso de protección,Competencia,"Competencia, Recurso de protección, Aspectos procesales del recurso de protección, Tribunal Ambiental, Juzgado de Policía Local (JPL)","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: DIRIMIDA CONTIENDA COMPETENCIA, REMÍTANSE AUTOS",Tipo recurso: (CIVIL) CONTIENDA DE COMPETENCIA,https://juris.pjud.cl/busqueda/u?doist
Rol: 3391-2023,Caratulado: ANDRADES CON SERVICIO DE EVALUACIÓN AMBIENTAL,Fecha sentencia: 27-06-2024,Sistema de Evaluación de impacto ambiental (SEIA),Resolución de calificación ambiental (rca),"Derecho a defensa, Principio de congruencia, Resolución de Calificación Ambiental (RCA), Sistema de Evaluación de Impacto Ambiental (SEIA), Flujo vehicular, Residuos industriales, Alegaciones nuevas recurso de casación, Obligación de explicar errores de derecho denunciados, Abandono de marca, Participación Ambiental Ciudadana (PAC), Reclamación del artículo 17 n° 6 de la ley 20.600, Depósito de residuos industriales sólidos no peligrosos","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZA CASACION EN EL FONDO (M),Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dhnn5
Rol: 11789-2024,Caratulado: PRICE/TERCER TRIBUNAL AMBIENTAL,Fecha sentencia: 25-06-2024,Admisibilidad del recurso de queja,Resoluciones susceptibles de recurso de queja,"Admisibilidad del recurso de queja, Sentencia definitiva, Resoluciones susceptibles de recurso de queja, Reclamación ante Tribunal Ambiental, Reconocimiento de calidad de humedal urbano, Resolución que resuelve sobre admisibilidad del recurso de casación, Reclamación del artículo 17 n° 11 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE RECURSO DE QUEJA (M),Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?dhn0x
Rol: 11813-2024,Caratulado: QUEVEDO/VALDOVINOS,Fecha sentencia: 25-06-2024,Admisibilidad del recurso de queja,Resoluciones susceptibles de recurso de queja,"Admisibilidad del recurso de queja, Sentencia definitiva, Resoluciones susceptibles de recurso de queja, Reclamación ante Tribunal Ambiental, Reconocimiento de calidad de humedal urbano, Resolución que resuelve sobre admisibilidad del recurso de casación, Reclamación del artículo 17 n° 11 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE RECURSO DE QUEJA (M),Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?dhn1b
Rol: 5122-2024,"Caratulado: MOLINERA COQUIMBO S.A./SUPERINTENDENCIA DEL MEDIO AMBIENTE, OFICINA REGIONAL PUERTO MONTT",Fecha sentencia: 17-06-2024,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Manifiesta falta de fundamento, Principio de trascendencia, Sana crítica, Admisibilidad del recurso de casación en el fondo, Ausencia de error de derecho, Recurso de casación en el fondo No constituye instancia, Admisibilidad del recurso de casación en la forma, Aplicación de multa, Deber de fundamentación, Argumentos no configuran la causal invocada, Falta de perjuicio o agravio, Niveles máximos de ruidos, Actuación de ministro de fe, Superintendencia del Medio Ambiente, Disconformidad con la valoración de la prueba, Carácter excepcional del recurso, Causales del recurso de casación en la forma, Reclamación del artículo 17 n° 3 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: INADMISIBLE CASACIÓN FORMA RECHAZADA,CASACIÓN F(M)",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dhbco
Rol: 84028-2023,Caratulado: SABANDO CON SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 11-06-2024,Potestad sancionadora y fiscalizadora,Competencia superintendencia de medio ambiente (sma),"Ausencia de error de derecho, Superintendencia del medio ambiente (sma), Ministerio del Medio Ambiente (MMA), Especie en peligro de extinción, Acciones de fiscalización, Potestad sancionadora y fiscalizadora, Competencia superintendencia de medio ambiente (sma), Instrumentos de gestión ambiental, Denuncia ante la superintendencia del medio ambiente, Reclamación del artículo 17 n° 3 de la ley 20.600, Reglamento de calificación de especies, Hongo boletus loyo","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZA CASACION EN EL FONDO (M),Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dg2zy
Rol: 147155-2023,Caratulado: HERRERA TOLEDO CARLOS CON DIDIER VALDES MAX,Fecha sentencia: 09-05-2024,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Admisibilidad del recurso de casación en el fondo, Admisibilidad del recurso de casación en la forma, Daño ambiental, Resoluciones susceptibles de casación en el fondo, Resoluciones susceptibles de casación en la forma, Resolución que resuelve sobre medidas cautelares","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dgb14
Rol: 251149-2023,Caratulado: MUNICIPALIDAD DE ANCUD/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 06-05-2024,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Manifiesta falta de fundamento, Admisibilidad del recurso de casación en el fondo, Ausencia de error de derecho, Aplicación de multa, Eximente de responsabilidad, Resolución debidamente fundamentada, Ingreso al Sistema de Impacto Ambiental (SEIA), Operación sin contar con una Resolución de Calificación Ambiental, Relleno sanitario, Superintendencia del Medio Ambiente, Alerta sanitaria, Contingencia sanitaria por pandemia, Reclamación del artículo 17 n° 3 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADO CASACIÓN FONDO MANIFIESTA FALTA DE F (M),Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dgi7c
Rol: 248546-2023,Caratulado: SALUTE PER AQUA SPA/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 06-05-2024,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Gravedad de la infracción, Manifiesta falta de fundamento, Principio de contradictoriedad, Programa de cumplimiento, Reglas de la sana crítica, Admisibilidad del recurso de casación en el fondo, Ausencia de error de derecho, Imposición de multa, Admisibilidad del recurso de casación en la forma, Argumentos no configuran la causal invocada, Determinación de la sanción, Infracción normativa ambiental, Plan de cumplimiento, Decibeles, Superintendencia del Medio Ambiente, Disconformidad con la valoración de la prueba, Acción de fiscalización, Información tributaria, Medición de ruido, Debido proceso, Causales del recurso de casación en la forma, Capacidad de pago, Tamaño económico de la empresa, Denuncia medio ambiental, Reclamación del artículo 17 n° 3 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: INADMISIBLE CASACIÓN FORMA, RECHAZADA CASACIÓN FONDO",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dgjbs
Rol: 252714-2023,"Caratulado: SOCIEDAD PRODUCTORA DE ARIDOS, SERVICIOS Y TRANSPORTE LIMITADA/SUPERINTENDENCIA DEL MEDIO AMBIENTE,",Fecha sentencia: 15-04-2024,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Decaimiento del procedimiento administrativo, Manifiesta falta de fundamento, Admisibilidad del recurso de casación en el fondo, Consideraciones de hecho y de derecho, Imposición de multa, Admisibilidad del recurso de casación en la forma, Decisión del asunto controvertido, Argumentos no configuran la causal invocada, Proceso de fiscalización, Hechos establecidos por los jueces del fondo son inamovibles, Causales del recurso de casación en la forma, Alegación prescripción, Reclamación del artículo 17 n° 3 de la ley 20.600, Caducidad de la resolución de calificación ambiental","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: INADMISIBLE CASACIÓN FORMA, RECHAZADA CASACIÓN FONDO",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dohx3
Rol: 22455-2022,Caratulado: COMUNIDAD INDÍGENA HUAYÚN MAPU CON SERVICIO DE EVALUACIÓN AMBIENTAL REGIÓN DEL BIO BIO.,Fecha sentencia: 02-04-2024,Sistema de Evaluación de impacto ambiental (SEIA),Resolución de calificación ambiental (rca),"Consulta indígena, Principio de congruencia, Sana crítica, Comunidad indígena, Ausencia de error de derecho, Recurso de derecho estricto, Consideraciones de hecho y de derecho, Argumentos no configuran la causal invocada, Resolución de Calificación Ambiental (RCA), Sistema de Evaluación de Impacto Ambiental (SEIA), Parque eólico, Disconformidad con el proceso valorativo de los jueces, Calidad de tierra indígena, Reclamación del artículo 17 n° 6 de la ley 20.600, Doctrina de la desviación procesal","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfrd5
Rol: 61601-2023,Caratulado: CÁMARA DE TURISMO DE OLMUÉ CON SERVICIO DE EVALUACIÓN AMBIENTAL REGIÓN DE BIOBÍO,Fecha sentencia: 14-03-2024,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Derecho a vivir en un medio ambiente libre de contaminación, Sana crítica, Consideraciones de hecho y de derecho, Valoración de la prueba documental, Decisión del asunto controvertido, Argumentos no configuran la causal invocada, Sistema de Evaluación de Impacto Ambiental (SEIA), Apertura de un nuevo proceso de participación ciudadana, Estudio de impacto ambiental (EIA), Invalidación de resolución de calificación ambiental, Impacto ambiental significativo, Disconformidad con los jueces de la instancia, Error jurídico de los sentenciadores influye en lo dispositivo del fallo, Principio cautelar, Publicidad y participación ciudadana, Reserva natural, Adenda complementaria, Reclamación del artículo 17 n° 8 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADA CASACIÓN EN LA FORMA,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfza3
Rol: 61601-2023,Caratulado: CÁMARA DE TURISMO DE OLMUÉ CON SERVICIO DE EVALUACIÓN AMBIENTAL REGIÓN DE BIOBÍO,Fecha sentencia: 14-03-2024,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Modificación de proyecto, Principio precautorio, Sistema de Evaluación de Impacto Ambiental (SEIA), Adenda, Apertura de un nuevo proceso de participación ciudadana, Invalidación de resolución de calificación ambiental, Desarrollo sustentable, Publicidad y participación ciudadana, Reserva natural, Reclamación del artículo 17 n° 8 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfzd0
Rol: 197254-2023,Caratulado: ROJAS/SERVICIO DE EVALUACIÓN AMBIENTAL REGIÓN DE BIOBÍO,Fecha sentencia: 13-03-2024,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Admisibilidad del recurso de casación en el fondo, Admisibilidad del recurso de casación en la forma, Resolución que se impugna no participa de la naturaleza jurídica requerida, Invalidación de resolución de calificación ambiental, Resolución no pone término al juicio ni hace imposible su continuación, Resoluciones susceptibles de casación en el fondo, Resoluciones susceptibles de casación en la forma, Procedimiento de evaluación de impacto ambiental retrotraído, Reclamación del artículo 17 n° 6 de la ley 20.600, Procedimiento no afinado","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?desol
Rol: 246934-2023,Caratulado: PATAGONIA RIDGE SPA/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 13-03-2024,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Manifiesta falta de fundamento, Sana crítica, Admisibilidad del recurso de casación en el fondo, Recurso de derecho estricto, Humedal, Ingreso al Sistema de Evaluación de Impacto Ambiental (SEIA), Disconformidad con el proceso valorativo, Infracción de norma de rango infralegal, No indica infracción de ley, No se denuncia o verifica infracción a normas reguladoras de la prueba, Reclamación del artículo 17 n° 3 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZA CASACION EN EL FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfzy2
Rol: 223056-2023,Caratulado: SPORTLIFE S.A/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 08-03-2024,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Manifiesta falta de fundamento, Admisibilidad del recurso de casación en el fondo, Ausencia de error de derecho, Excepción de prescripción extintiva, Emisión de ruidos molestos, Sanción de multa, Potestad sancionadora y fiscalizadora, Hechos establecidos por los jueces del fondo son inamovibles, Actuación de ministro de fe, Corte Suprema no constituye tribunal de segundo grado por regla general, Revisión judicial de acto sancionatorio, Pronunciamiento dentro de un plazo razonable, Reclamación del artículo 17 n° 3 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZA CASACION EN EL FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfzd3
Rol: 147311-2023,Caratulado: INVERSIONES LAMPA SPA/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 01-03-2024,Admisibilidad del recurso de casación en la forma,Causales recurso de casación en la forma,"Orden de paralización, Sana crítica, Zona saturada, Consideraciones de hecho y de derecho, Imposición de multa, Admisibilidad del recurso de casación en la forma, Decisión del asunto controvertido, Argumentos no configuran la causal invocada, Entrega de antecedentes, Fundamentación de la sentencia definitiva, Operación sin contar con una Resolución de Calificación Ambiental, Acción de fiscalización, Causales del recurso de casación en la forma, No se denuncia o verifica infracción a normas reguladoras de la prueba, Reclamación del artículo 17 n° 3 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE CASACIÓN FORMA,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfy9l
Rol: 199434-2023,Caratulado: INMOBILIARIA PROVIDENCIA LIMITADA/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 27-02-2024,Admisibilidad del recurso de casación en el fondo,Error de derecho/influencia sustancial,"Pretensión satisfecha, Admisibilidad del recurso de casación en el fondo, Recurso de derecho estricto, Acogimiento parcial de recurso de reposición administrativa, Petición subsidiaria, Rebaja de multa administrativa, Error de derecho/Influencia sustancial, Reclamación en contra de una resolución de la SMA, Carencia de influencia en lo dispositivo del fallo, Sistema recursivo","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE CASACIÓN DE FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dd5a6
Rol: 167262-2023,Caratulado: REICHERT/I MUNICIPALIDAD VALDIVIA,Fecha sentencia: 26-02-2024,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Manifiesta falta de fundamento, Responsabilidad subjetiva, Admisibilidad del recurso de casación en el fondo, Ausencia de error de derecho, Admisibilidad del recurso de casación en la forma, Argumentos no configuran la causal invocada, Existencia del daño ambiental, Actuación culposa, Errores de derecho alegados contradictorios, Autorizaciones sectoriales, Disconformidad con la valoración de la prueba, Demanda de reparación por daño ambiental, Importancia de los humedales, Causales del recurso de casación en la forma, Alteración del cauce de agua, No denuncia el quebrantamiento o desatención de concreta regla de la sana crítica, Infracción manifiesta de las normas sobre apreciación de la prueba","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: INADMISIBLE CASACIÓN FORMA RECHAZADA, CASACIÓN FONDO",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfzd1
